kode,string
8424,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-40 adalah senilai Rp 1.377.982.197.064
8425,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-41 adalah senilai Rp 5.783.190.633.470
8426,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-42 adalah senilai Rp 9.201.380.926.185
8427,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-43 adalah senilai Rp 4.014.754.762.187
8428,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-44 adalah senilai Rp 497.189.486.907
8429,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-45 adalah senilai Rp 1.134.771.367.095
8430,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-46 adalah senilai Rp 131.902.960.313
8431,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-47 adalah senilai Rp 5.635.848.296.872
8432,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-48 adalah senilai Rp 1.798.887.735.926
8433,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-49 adalah senilai Rp 8.155.580.179.652
8434,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-50 adalah senilai Rp 9.528.925.749.202
8435,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-51 adalah senilai Rp 2.661.709.096.600
8436,Total PDRB Provinsi Sumatera Barat yang berasal dari PDRB PRODUKSI kode komponen I-52 adalah senilai Rp 3.946.129.867.340
8437,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PENDAPATAN kode komponen 2010 adalah senilai Rp 142.903.610.958.908
8438,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PENDAPATAN kode komponen 2020 adalah senilai Rp 248.546.007.950.957
8439,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PENDAPATAN kode komponen 2045 adalah senilai Rp 2.973.008.365.948
8440,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PENGELUARAN kode komponen 3011 adalah senilai Rp 224.008.677.148.424
8441,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PENGELUARAN kode komponen 3012 adalah senilai Rp 5.319.992.083.811
8442,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PENGELUARAN kode komponen 3020 adalah senilai Rp 27.080.970.729.893
8443,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PENGELUARAN kode komponen 3030 adalah senilai Rp 138.939.057.483.595
8444,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PENGELUARAN kode komponen 3041 adalah senilai Rp -2.954.444.981.397
8445,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-01 adalah senilai Rp 11.223.936.850.730
8446,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-02 adalah senilai Rp 3.011.101.800.050
8447,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-03 adalah senilai Rp 29.291.740.088.015
8448,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-04 adalah senilai Rp 4.234.317.882.841
8449,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-05 adalah senilai Rp 1.017.302.801.449
8450,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-06 adalah senilai Rp 8.570.504.113.968
8451,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-07 adalah senilai Rp 12.974.336.408.506
8452,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-08 adalah senilai Rp 37.206.544.358.695
8453,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-09 adalah senilai Rp 18.252.393.154.009
8454,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-10 adalah senilai Rp 0
8455,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-11 adalah senilai Rp 20.569.982.690.591
8456,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-12 adalah senilai Rp 30.450.555.774.556
8457,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-13 adalah senilai Rp 17.031.619.466.515
8458,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-14 adalah senilai Rp 27.641.937.551
8459,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-15 adalah senilai Rp 458.138.696.875
8460,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-16 adalah senilai Rp 166.286.291.462
8461,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-17 adalah senilai Rp 584.242.376.316
8462,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-18 adalah senilai Rp 1.606.843.045.818
8463,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-19 adalah senilai Rp 9.682.486.643.814
8464,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-20 adalah senilai Rp 4.819.168.957.676
8465,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-21 adalah senilai Rp 6.106.332.356.709
8466,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-22 adalah senilai Rp 162.805.392.001
8467,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-23 adalah senilai Rp 2.220.784.020.104
8468,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-24 adalah senilai Rp 363.699.605.034
8469,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-25 adalah senilai Rp 115.616.292.540
8470,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-26 adalah senilai Rp 285.079.035.023
8471,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-27 adalah senilai Rp 669.692.654.884
8472,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-28 adalah senilai Rp 1.785.204.761.029
8473,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-29 adalah senilai Rp 471.885.051.722
8474,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-30 adalah senilai Rp 388.051.672.638
8475,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-31 adalah senilai Rp 41.526.832.964.524
8476,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-32 adalah senilai Rp 8.912.642.042.143
8477,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-33 adalah senilai Rp 34.122.720.768.130
8478,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-34 adalah senilai Rp 325.476.663.838
8479,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-35 adalah senilai Rp 5.467.537.546.950
8480,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-36 adalah senilai Rp 364.945.650.367
8481,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-37 adalah senilai Rp 260.531.723.981
8482,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-38 adalah senilai Rp 3.751.264.909.763
8483,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-39 adalah senilai Rp 1.113.377.752.579
8484,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-40 adalah senilai Rp 1.498.336.279.962
8485,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-41 adalah senilai Rp 5.682.799.141.415
8486,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-42 adalah senilai Rp 9.909.235.778.363
8487,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-43 adalah senilai Rp 6.108.786.583.416
8488,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-44 adalah senilai Rp 1.699.293.002.694
8489,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-45 adalah senilai Rp 847.660.245.992
8490,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-46 adalah senilai Rp 54.557.498.510
8491,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-47 adalah senilai Rp 13.029.038.313.833
8492,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-48 adalah senilai Rp 1.821.161.224.185
8493,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-49 adalah senilai Rp 10.967.571.862.621
8494,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-50 adalah senilai Rp 9.667.440.172.972
8495,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-51 adalah senilai Rp 3.496.669.819.771
8496,Total PDRB Provinsi Sumatera Selatan yang berasal dari PDRB PRODUKSI kode komponen I-52 adalah senilai Rp 10.046.453.148.681
8497,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PENDAPATAN kode komponen 2010 adalah senilai Rp 219.696.238.337.896
8498,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PENDAPATAN kode komponen 2020 adalah senilai Rp 323.464.449.658.236
8499,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PENDAPATAN kode komponen 2045 adalah senilai Rp 15.827.929.038.976
8500,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PENGELUARAN kode komponen 3011 adalah senilai Rp 323.491.573.965.185
8501,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PENGELUARAN kode komponen 3012 adalah senilai Rp 5.624.161.534.258
8502,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PENGELUARAN kode komponen 3020 adalah senilai Rp 45.994.579.191.009
8503,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PENGELUARAN kode komponen 3030 adalah senilai Rp 193.836.665.573.542
8504,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PENGELUARAN kode komponen 3041 adalah senilai Rp 10.192.798.016.131
8505,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-01 adalah senilai Rp 10.049.904.951.069
8506,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-02 adalah senilai Rp 15.424.222.025.585
8507,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-03 adalah senilai Rp 34.822.581.812.762
8508,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-04 adalah senilai Rp 17.381.024.800.536
8509,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-05 adalah senilai Rp 1.210.437.198.410
8510,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-06 adalah senilai Rp 4.967.631.676.262
8511,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-07 adalah senilai Rp 16.890.496.138.268
8512,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-08 adalah senilai Rp 338.096.953.705
8513,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-09 adalah senilai Rp 0
8514,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-10 adalah senilai Rp 2.770.032.010.024
8515,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-11 adalah senilai Rp 5.278.197.226.440
8516,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-12 adalah senilai Rp 24.907.717.376
8517,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-13 adalah senilai Rp 75.686.456.174.342
8518,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-14 adalah senilai Rp 16.286.806.749.456
8519,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-15 adalah senilai Rp 1.947.187.544.662
8520,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-16 adalah senilai Rp 1.206.962.451.666
8521,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-17 adalah senilai Rp 2.063.463.239.634
8522,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-18 adalah senilai Rp 3.695.231.191.765
8523,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-19 adalah senilai Rp 2.847.275.361.123
8524,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-20 adalah senilai Rp 6.700.315.138.050
8525,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-21 adalah senilai Rp 2.799.180.618.313
8526,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-22 adalah senilai Rp 9.477.445.151.300
8527,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-23 adalah senilai Rp 3.201.141.879.543
8528,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-24 adalah senilai Rp 3.410.846.979.989
8529,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-25 adalah senilai Rp 4.599.905.606.443
8530,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-26 adalah senilai Rp 1.042.535.491.529
8531,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-27 adalah senilai Rp 2.000.445.527.442
8532,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-28 adalah senilai Rp 3.017.643.716.007
8533,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-29 adalah senilai Rp 420.009.807.589
8534,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-30 adalah senilai Rp 691.463.005.180
8535,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-31 adalah senilai Rp 56.400.816.576.254
8536,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-32 adalah senilai Rp 10.535.121.747.919
8537,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-33 adalah senilai Rp 72.811.590.229.368
8538,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-34 adalah senilai Rp 207.183.478.928
8539,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-35 adalah senilai Rp 15.761.899.799.466
8540,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-36 adalah senilai Rp 2.168.401.429.022
8541,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-37 adalah senilai Rp 225.558.356.570
8542,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-38 adalah senilai Rp 8.285.522.675.814
8543,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-39 adalah senilai Rp 8.933.864.184.337
8544,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-40 adalah senilai Rp 2.610.819.429.384
8545,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-41 adalah senilai Rp 12.668.727.976.562
8546,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-42 adalah senilai Rp 11.801.671.188.918
8547,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-43 adalah senilai Rp 14.617.760.644.205
8548,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-44 adalah senilai Rp 1.774.265.987.696
8549,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-45 adalah senilai Rp 2.707.761.781.725
8550,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-46 adalah senilai Rp 467.116.584.305
8551,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-47 adalah senilai Rp 17.279.328.087.573
8552,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-48 adalah senilai Rp 9.568.767.231.873
8553,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-49 adalah senilai Rp 17.164.955.027.302
8554,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-50 adalah senilai Rp 25.771.918.711.600
8555,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-51 adalah senilai Rp 6.795.991.466.022
8556,Total PDRB Provinsi Sumatera Utara yang berasal dari PDRB PRODUKSI kode komponen I-52 adalah senilai Rp 10.177.726.295.796
8557,Total PDRB dari seluruh kode komponen adalah Rp 37.872.390.169.570.720
8558,Rata-rata PDRB dari tiap kode komponen adalah Rp 631.206.502.826.179
8559,"Kode komponen dengan penyumbang PDRB tertinggi adalah 2020, yaitu senilai Rp 7.150.796.167.719.017"
8560,"3 Kode komponen dengan penyumbang PDRB tertinggi adalah 2020, 3011 dan 2010 yaitu senilai Rp 7.150.796.167.719.017, Rp 7.119.909.001.632.968, dan Rp 4.930.685.464.603.704"
8561,"Kode komponen dengan penyumbang PDRB terendah adalah I-34, yaitu senilai Rp 4.720.516.177.688"
8562,"3 Kode Komponen dengan PDRB terendah adalah I-34, I-37, dan I-30, yaitu senilai Rp 4.720.516.177.688, Rp 14.611.809.271.661, dan Rp 4.139.130.416.986.309"
8563,Kode komponen 2010 berkontribusi sebesar Rp 4.930.685.464.603.704 terhadap PDRB nasional
8564,Kode komponen 2020 berkontribusi sebesar Rp 7.150.796.167.719.017 terhadap PDRB nasional
8565,Kode komponen 2045 berkontribusi sebesar Rp 564.336.206.085.210 terhadap PDRB nasional
8566,Kode komponen 3011 berkontribusi sebesar Rp 7.119.909.001.632.968 terhadap PDRB nasional
8567,Kode komponen 3012 berkontribusi sebesar Rp 144.944.697.746.068 terhadap PDRB nasional
8568,Kode komponen 3020 berkontribusi sebesar Rp 1.094.181.417.389.139 terhadap PDRB nasional
8569,Kode komponen 3030 berkontribusi sebesar Rp 4.139.130.416.986.309 terhadap PDRB nasional
8570,Kode komponen 3041 berkontribusi sebesar Rp 82.588.959.000.381 terhadap PDRB nasional
8571,Kode komponen I-01 berkontribusi sebesar Rp 286.980.826.948.009 terhadap PDRB nasional
8572,Kode komponen I-02 berkontribusi sebesar Rp 212.018.966.432.582 terhadap PDRB nasional
8573,Kode komponen I-03 berkontribusi sebesar Rp 383.026.950.240.602 terhadap PDRB nasional
8574,Kode komponen I-04 berkontribusi sebesar Rp 195.213.619.336.430 terhadap PDRB nasional
8575,Kode komponen I-05 berkontribusi sebesar Rp 18.731.884.030.949 terhadap PDRB nasional
8576,Kode komponen I-06 berkontribusi sebesar Rp 98.478.085.516.620 terhadap PDRB nasional
8577,Kode komponen I-07 berkontribusi sebesar Rp 277.310.456.600.136 terhadap PDRB nasional
8578,Kode komponen I-08 berkontribusi sebesar Rp 299.195.642.729.399 terhadap PDRB nasional
8579,Kode komponen I-09 berkontribusi sebesar Rp 225.829.396.449.326 terhadap PDRB nasional
8580,Kode komponen I-10 berkontribusi sebesar Rp 87.557.109.473.178 terhadap PDRB nasional
8581,Kode komponen I-11 berkontribusi sebesar Rp 182.638.022.925.344 terhadap PDRB nasional
8582,Kode komponen I-12 berkontribusi sebesar Rp 274.535.692.915.188 terhadap PDRB nasional
8583,Kode komponen I-13 berkontribusi sebesar Rp 687.392.834.862.582 terhadap PDRB nasional
8584,Kode komponen I-14 berkontribusi sebesar Rp 278.040.328.524.009 terhadap PDRB nasional
8585,Kode komponen I-15 berkontribusi sebesar Rp 156.937.711.219.225 terhadap PDRB nasional
8586,Kode komponen I-16 berkontribusi sebesar Rp 59.470.200.873.347 terhadap PDRB nasional
8587,Kode komponen I-17 berkontribusi sebesar Rp 78.819.183.818.287 terhadap PDRB nasional
8588,Kode komponen I-18 berkontribusi sebesar Rp 89.958.903.210.564 terhadap PDRB nasional
8589,Kode komponen I-19 berkontribusi sebesar Rp 252.899.436.159.842 terhadap PDRB nasional
8590,Kode komponen I-20 berkontribusi sebesar Rp 92.971.050.237.924 terhadap PDRB nasional
8591,Kode komponen I-21 berkontribusi sebesar Rp 113.829.827.690.827 terhadap PDRB nasional
8592,Kode komponen I-22 berkontribusi sebesar Rp 93.877.329.492.623 terhadap PDRB nasional
8593,Kode komponen I-23 berkontribusi sebesar Rp 267.815.677.758.942 terhadap PDRB nasional
8594,Kode komponen I-24 berkontribusi sebesar Rp 118.836.202.537.648 terhadap PDRB nasional
8595,Kode komponen I-25 berkontribusi sebesar Rp 289.600.624.777.590 terhadap PDRB nasional
8596,Kode komponen I-26 berkontribusi sebesar Rp 40.994.506.156.904 terhadap PDRB nasional
8597,Kode komponen I-27 berkontribusi sebesar Rp 74.371.919.244.244 terhadap PDRB nasional
8598,Kode komponen I-28 berkontribusi sebesar Rp 58.129.773.523.049 terhadap PDRB nasional
8599,Kode komponen I-29 berkontribusi sebesar Rp 27.310.776.923.580 terhadap PDRB nasional
8600,Kode komponen I-30 berkontribusi sebesar Rp 18.493.171.816.991 terhadap PDRB nasional
8601,Kode komponen I-31 berkontribusi sebesar Rp 1.222.939.786.593.240 terhadap PDRB nasional
8602,Kode komponen I-32 berkontribusi sebesar Rp 321.489.162.603.388 terhadap PDRB nasional
8603,Kode komponen I-33 berkontribusi sebesar Rp 1.358.540.705.533.604 terhadap PDRB nasional
8604,Kode komponen I-34 berkontribusi sebesar Rp 4.720.516.177.688 terhadap PDRB nasional
8605,Kode komponen I-35 berkontribusi sebesar Rp 319.429.662.869.816 terhadap PDRB nasional
8606,Kode komponen I-36 berkontribusi sebesar Rp 40.281.571.827.748 terhadap PDRB nasional
8607,Kode komponen I-37 berkontribusi sebesar Rp 14.611.809.271.661 terhadap PDRB nasional
8608,Kode komponen I-38 berkontribusi sebesar Rp 187.550.730.004.207 terhadap PDRB nasional
8609,Kode komponen I-39 berkontribusi sebesar Rp 118.425.582.526.405 terhadap PDRB nasional
8610,Kode komponen I-40 berkontribusi sebesar Rp 98.427.783.936.680 terhadap PDRB nasional
8611,Kode komponen I-41 berkontribusi sebesar Rp 369.259.449.529.702 terhadap PDRB nasional
8612,Kode komponen I-42 berkontribusi sebesar Rp 487.912.880.040.432 terhadap PDRB nasional
8613,Kode komponen I-43 berkontribusi sebesar Rp 342.295.572.129.251 terhadap PDRB nasional
8614,Kode komponen I-44 berkontribusi sebesar Rp 84.925.425.803.268 terhadap PDRB nasional
8615,Kode komponen I-45 berkontribusi sebesar Rp 56.846.674.876.542 terhadap PDRB nasional
8616,Kode komponen I-46 berkontribusi sebesar Rp 38.469.129.474.269 terhadap PDRB nasional
8617,Kode komponen I-47 berkontribusi sebesar Rp 584.617.953.146.449 terhadap PDRB nasional
8618,Kode komponen I-48 berkontribusi sebesar Rp 351.399.765.467.909 terhadap PDRB nasional
8619,Kode komponen I-49 berkontribusi sebesar Rp 429.421.705.855.444 terhadap PDRB nasional
8620,Kode komponen I-50 berkontribusi sebesar Rp 412.097.155.322.738 terhadap PDRB nasional
8621,Kode komponen I-51 berkontribusi sebesar Rp 154.075.542.244.229 terhadap PDRB nasional
8622,Kode komponen I-52 berkontribusi sebesar Rp 306.813.160.747.320 terhadap PDRB nasional
8623,Kode komponen 2010 berkontribusi sebesar Rp 58.579.962.977.686 terhadap PDRB Provinsi Aceh
8624,Kode komponen 2020 berkontribusi sebesar Rp 75.532.741.548.288 terhadap PDRB Provinsi Aceh
8625,Kode komponen 2045 berkontribusi sebesar Rp 441.824.954.110 terhadap PDRB Provinsi Aceh
8626,Kode komponen 3011 berkontribusi sebesar Rp 89.035.068.472.911 terhadap PDRB Provinsi Aceh
8627,Kode komponen 3012 berkontribusi sebesar Rp 2.739.831.095.564 terhadap PDRB Provinsi Aceh
8628,Kode komponen 3020 berkontribusi sebesar Rp 33.109.172.998.218 terhadap PDRB Provinsi Aceh
8629,Kode komponen 3030 berkontribusi sebesar Rp 52.792.100.361.510 terhadap PDRB Provinsi Aceh
8630,Kode komponen 3041 berkontribusi sebesar Rp 2.852.765.188.235 terhadap PDRB Provinsi Aceh
8631,Kode komponen I-01 berkontribusi sebesar Rp 5.870.077.532.341 terhadap PDRB Provinsi Aceh
8632,Kode komponen I-02 berkontribusi sebesar Rp 5.883.898.869.500 terhadap PDRB Provinsi Aceh
8633,Kode komponen I-03 berkontribusi sebesar Rp 10.247.247.968.196 terhadap PDRB Provinsi Aceh
8634,Kode komponen I-04 berkontribusi sebesar Rp 4.150.957.827.013 terhadap PDRB Provinsi Aceh
8635,Kode komponen I-05 berkontribusi sebesar Rp 726.496.821.323 terhadap PDRB Provinsi Aceh
8636,Kode komponen I-06 berkontribusi sebesar Rp 1.999.586.610.192 terhadap PDRB Provinsi Aceh
8637,Kode komponen I-07 berkontribusi sebesar Rp 6.732.957.205.807 terhadap PDRB Provinsi Aceh
8638,Kode komponen I-08 berkontribusi sebesar Rp 2.173.681.361.834 terhadap PDRB Provinsi Aceh
8639,Kode komponen I-09 berkontribusi sebesar Rp 285.164.805.737 terhadap PDRB Provinsi Aceh
8640,Kode komponen I-10 berkontribusi sebesar Rp 215.655.124.657 terhadap PDRB Provinsi Aceh
8641,Kode komponen I-11 berkontribusi sebesar Rp 3.408.478.739.481 terhadap PDRB Provinsi Aceh
8642,Kode komponen I-12 berkontribusi sebesar Rp 0 terhadap PDRB Provinsi Aceh
8643,Kode komponen I-13 berkontribusi sebesar Rp 3.681.767.282.545 terhadap PDRB Provinsi Aceh
8644,Kode komponen I-14 berkontribusi sebesar Rp 48.154.684.150 terhadap PDRB Provinsi Aceh
8645,Kode komponen I-15 berkontribusi sebesar Rp 651.347.667.528 terhadap PDRB Provinsi Aceh
8646,Kode komponen I-16 berkontribusi sebesar Rp 23.346.283.554 terhadap PDRB Provinsi Aceh
8647,Kode komponen I-17 berkontribusi sebesar Rp 365.449.241.489 terhadap PDRB Provinsi Aceh
8648,Kode komponen I-18 berkontribusi sebesar Rp 82.412.566.532 terhadap PDRB Provinsi Aceh
8649,Kode komponen I-19 berkontribusi sebesar Rp 1.475.274.952.908 terhadap PDRB Provinsi Aceh
